,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
350,12063,0.064,0.10800000000000001,0.129,0.174,0.526
351,12065,0.019,0.017,0.099,0.183,0.682
352,12067,0.102,0.081,0.22,0.20800000000000002,0.389
353,12069,0.047,0.062,0.07400000000000001,0.185,0.632
354,12071,0.052000000000000005,0.05,0.073,0.17600000000000002,0.648
355,12073,0.051,0.022000000000000002,0.071,0.156,0.7
356,12075,0.017,0.132,0.07200000000000001,0.187,0.5920000000000001
357,12077,0.022000000000000002,0.023,0.205,0.268,0.48200000000000004
358,12079,0.16399999999999998,0.085,0.14800000000000002,0.264,0.34
359,12081,0.07400000000000001,0.037000000000000005,0.062,0.201,0.626
360,12083,0.046,0.087,0.121,0.203,0.5429999999999999
361,12085,0.027000000000000003,0.018000000000000002,0.066,0.16899999999999998,0.7190000000000001
362,12086,0.032,0.023,0.06,0.128,0.7559999999999999
363,12087,0.006999999999999999,0.001,0.013999999999999999,0.159,0.8190000000000001
364,12089,0.09,0.07,0.147,0.223,0.47
365,12091,0.091,0.083,0.147,0.21,0.469
366,12093,0.016,0.034,0.064,0.171,0.715
367,12095,0.02,0.02,0.07200000000000001,0.16399999999999998,0.7240000000000001
368,12097,0.025,0.022000000000000002,0.057999999999999996,0.17600000000000002,0.72
369,12099,0.03,0.02,0.05,0.11599999999999999,0.784
370,12101,0.027000000000000003,0.028999999999999998,0.055,0.179,0.7090000000000001
371,12103,0.025,0.019,0.07400000000000001,0.133,0.75
372,12105,0.05,0.063,0.085,0.172,0.63
373,12107,0.068,0.05,0.114,0.18600000000000003,0.581
374,12109,0.047,0.071,0.09699999999999999,0.223,0.561
375,12111,0.077,0.022000000000000002,0.08,0.17300000000000001,0.648
376,12113,0.047,0.068,0.166,0.265,0.45299999999999996
377,12115,0.017,0.031,0.073,0.175,0.7040000000000001
378,12117,0.037000000000000005,0.039,0.066,0.141,0.7170000000000001
379,12119,0.037000000000000005,0.036000000000000004,0.064,0.235,0.628
380,12121,0.105,0.055,0.244,0.22699999999999998,0.369
381,12123,0.10300000000000001,0.086,0.19,0.145,0.47600000000000003
382,12125,0.044000000000000004,0.04,0.17600000000000002,0.267,0.473
383,12127,0.035,0.066,0.08900000000000001,0.192,0.618
384,12129,0.032,0.092,0.172,0.275,0.429
385,12131,0.092,0.06,0.092,0.244,0.512
386,12133,0.138,0.085,0.062,0.158,0.557
387,13001,0.085,0.11699999999999999,0.23,0.152,0.41600000000000004
388,13003,0.059000000000000004,0.1,0.179,0.217,0.445
389,13005,0.071,0.132,0.187,0.188,0.42100000000000004
390,13007,0.027000000000000003,0.048,0.054000000000000006,0.127,0.743
391,13009,0.02,0.08900000000000001,0.107,0.29,0.494
392,13011,0.136,0.10300000000000001,0.125,0.23800000000000002,0.39899999999999997
393,13013,0.063,0.086,0.092,0.19,0.568
394,13015,0.215,0.05,0.12300000000000001,0.14300000000000002,0.47
395,13017,0.129,0.078,0.109,0.20199999999999999,0.483
396,13019,0.073,0.098,0.156,0.214,0.46
397,13021,0.043,0.094,0.17600000000000002,0.201,0.48700000000000004
398,13023,0.08900000000000001,0.031,0.11699999999999999,0.256,0.508
399,13025,0.047,0.129,0.15,0.16399999999999998,0.51
400,13027,0.092,0.165,0.124,0.235,0.385
401,13029,0.033,0.039,0.095,0.23800000000000002,0.595
402,13031,0.053,0.049,0.163,0.31,0.424
403,13033,0.105,0.109,0.087,0.20800000000000002,0.49200000000000005
404,13035,0.125,0.037000000000000005,0.14400000000000002,0.163,0.53
405,13037,0.013000000000000001,0.035,0.043,0.172,0.737
406,13039,0.136,0.125,0.17,0.113,0.456
407,13043,0.037000000000000005,0.045,0.177,0.264,0.47700000000000004
408,13045,0.08900000000000001,0.133,0.154,0.168,0.457
409,13047,0.14300000000000002,0.152,0.114,0.217,0.375
410,13049,0.065,0.094,0.15,0.196,0.495
411,13051,0.035,0.04,0.14400000000000002,0.158,0.624
412,13053,0.061,0.07200000000000001,0.10800000000000001,0.214,0.545
413,13055,0.11599999999999999,0.102,0.187,0.14300000000000002,0.451
414,13057,0.049,0.054000000000000006,0.1,0.213,0.584
415,13059,0.054000000000000006,0.057,0.06,0.226,0.603
416,13061,0.027999999999999997,0.066,0.12,0.223,0.562
417,13063,0.038,0.054000000000000006,0.125,0.159,0.624
418,13065,0.06,0.057999999999999996,0.134,0.168,0.58
419,13067,0.039,0.049,0.11599999999999999,0.225,0.5720000000000001
420,13069,0.085,0.124,0.16399999999999998,0.222,0.40399999999999997
421,13071,0.10800000000000001,0.191,0.07400000000000001,0.233,0.39399999999999996
422,13073,0.061,0.064,0.095,0.23399999999999999,0.547
423,13075,0.098,0.134,0.12300000000000001,0.203,0.441
424,13077,0.105,0.053,0.183,0.204,0.455
425,13079,0.057,0.051,0.231,0.192,0.46799999999999997
426,13081,0.11900000000000001,0.023,0.06,0.163,0.635
427,13083,0.128,0.222,0.13,0.249,0.27
428,13085,0.049,0.09,0.128,0.162,0.5710000000000001
429,13087,0.09300000000000001,0.04,0.171,0.18,0.516
430,13089,0.036000000000000004,0.027999999999999997,0.075,0.156,0.7040000000000001
431,13091,0.145,0.025,0.15,0.23600000000000002,0.44299999999999995
432,13093,0.077,0.034,0.057999999999999996,0.204,0.627
433,13095,0.033,0.037000000000000005,0.045,0.159,0.726
434,13097,0.083,0.037000000000000005,0.09,0.198,0.591
435,13099,0.045,0.062,0.156,0.253,0.485
436,13101,0.09699999999999999,0.073,0.182,0.20199999999999999,0.446
437,13103,0.044000000000000004,0.064,0.145,0.272,0.475
